id,createdAt,state,categoryId,categoryName,latitude,longitude,replacingText,firstPictureUrl,nearest_segment_id,nearest_segment_name,distance_to_bike_path_meters,is_cycling_related,is_cycling_related_regex,is_cycling_related_llm,subcategory,llm_confidence,explanation_de,score_keywords,score_penalty,score_distance,score_category,score_corridor,score_state,score_recency,confidence_score,cyclist_impact_label
25,2025-01-01T22:16:23.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1886,8.1958,"An der Abgesagten Stelle auf der Straße die beseitigt worden ist, mit Pflastersteinen provisorisch Repariert worden ist,  das dann nach kurzer Zeit abgesagt ist, würde dieses mit Asphalt wieder in Standgesetzt, was aber nun das gleiche Ergebnis hat wie bei meiner Meldung vom 02.12.2022. Denn die Stelle ist genau so wieder Hergestellt worden wie vor dem 2.12 2022, denn die Straße ist dort immer noch Abgesackt.",,638614292,Am Stadtrand,16.32,False,True,False,unrelated,0.9,"Die Meldung beschreibt eine abgesackte Stelle auf einer allgemeinen Straße, ohne spezifischen Bezug zum Radverkehr.",0,-45,20,15,0,10,-10,0,Not cycling-specific
35,2025-01-02T12:20:05.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1241,8.2498,"An dieser Stelle steht das Regenwasser knöchelhoch und läuft nicht ab, da unter anderem ein Gully verstopft ist.",,1435848282,Herrenweg,3.91,False,False,False,unrelated,0.9,"Die Meldung betrifft stehendes Regenwasser aufgrund eines verstopften Gullys, was ein allgemeines Straßenproblem ist.",0,-45,35,15,0,10,-10,5,Not cycling-specific
36,2025-01-02T14:21:33.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1089,8.2259,"Ecke Klingenbergstraße Cloppenburger STraße sind die Gullis verstopft, das Wasser läuft nicht ab.",,35431548,Klingenbergstraße,3.76,False,False,False,unrelated,0.9,Verstopfte Gullys und nicht ablaufendes Wasser an einer Straßenecke sind ein allgemeines Problem und nicht spezifisch radverkehrsrelevant.,0,-45,35,15,0,10,-10,5,Not cycling-specific
37,2025-01-02T14:33:10.000+00:00,IN_PROCESS,11,"Öffentliches Grün, Parkanlagen 🌲",53.1408,8.1973,Bei Sitzbank an der Dobbenwiese ist die Lehne abgegangen (Schraube gelöst).,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/00d28b8d-b2d1-40eb-b2b8-fb97458065f7_1747127837355_flaw_reporter_report_picture.png,991666116,,7.01,False,False,False,unrelated,1.0,Die Meldung bezieht sich auf eine defekte Sitzbank in einer Parkanlage und hat keinen Bezug zum Radverkehr.,0,-45,35,10,0,10,-10,0,Not cycling-specific
40,2025-01-02T18:20:28.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.159,8.2252,Auf der Parkbucht neben den Glascontainer in der Wilhelm-Krüger-Str. steht ein schwarzer Touran mit seit mehreren Monaten abgelaufenem TÜV und platten Hinterreifen.,,21828116,,60.48,False,False,False,unrelated,1.0,Ein abgemeldetes Fahrzeug in einer Parkbucht ist ein allgemeines Problem und nicht spezifisch radverkehrsrelevant.,0,-45,0,15,0,10,-10,0,Not cycling-specific
51,2025-01-04T12:46:10.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1246,8.2535,"Steine auf der Straße lose, verschieben sich teilweise in die Höhe. Für Autos unschön, für Radfahrer gefährlich",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/36c9f464-fe70-4a9e-bb1f-0590e15225b9_1747127841013_flaw_reporter_report_picture.png,1410325234,,212.61,True,True,True,pothole_damage,0.95,"Lose Steine auf der Straße werden explizit als gefährlich für Radfahrer beschrieben, was auf eine direkte Beeinträchtigung hinweist.",50,0,0,15,0,10,-10,65,Likely cycling issue
52,2025-01-04T14:35:19.000+00:00,IN_PROCESS,8,Wilde Müllkippe 🧹,53.1318,8.2285,Im 24/7 Shop wilde Verwüstung,,24889645,,71.25,False,False,False,unrelated,1.0,Die Meldung beschreibt Vandalismus in einem Geschäft und hat keinen Bezug zur öffentlichen Infrastruktur oder zum Radverkehr.,0,-45,0,0,0,10,-10,0,Not cycling-specific
64,2025-01-06T08:11:33.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.0947,8.2245,In Höhe der Grundschule sammelt sich bei Regen das Wasser auf dem Gehweg. Mann kommt dort nicht Trockenen Fußes vorbei. (Wasser läuft nicht ab),,23841035,Heidschnuckenweg,244.9,False,False,False,unrelated,0.8,"Die Meldung betrifft stehendes Wasser auf einem Gehweg, was primär Fußgänger betrifft und nicht spezifisch radverkehrsrelevant ist.",0,-45,0,15,0,10,-10,0,Not cycling-specific
67,2025-01-06T10:24:00.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1058,8.2216,Ein Wohnwagen steht dort seit mehr als 4 Wochen mit abgelaufener Hauptuntersuchung und behindert beim Ausparken aus ihrer Ausfahrt.,,20471173,,180.87,False,False,False,unrelated,1.0,"Ein abgestellter Wohnwagen, der eine Ausfahrt behindert, ist ein allgemeines Problem und nicht spezifisch radverkehrsrelevant.",0,-45,0,15,0,10,-10,0,Not cycling-specific
70,2025-01-06T10:42:14.000+00:00,IN_PROCESS,7,Fundräder ⚡️🚲  ,53.102,8.2312,"Im Wassergraben am Dwaschweg befindet sich ein Lastenrad (entsorgt, geklaut...was auch immer).",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/9fe83a40-ee40-4def-a266-6db416211ae9_1747127845575_flaw_reporter_report_picture.png,23750588,Dwaschweg,9.81,True,True,True,other_cycling,0.7,"Ein im Wassergraben gefundenes Lastenrad ist zwar kein Infrastrukturproblem, aber ein fahrradbezogenes Anliegen, das unter 'andere Radverkehrsthemen' fallen kann.",50,0,35,50,0,10,-10,135,Confirmed cycling issue
